,MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID,mol,MFC#
34106,194.19,C10H10O4,194.19,COC(=O)c1ccc(C=O)cc1OC,Aldlab Chemicals,0,,Methyl4-formyl-2-methoxybenzoate,MFCD24673848,50501752,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23FAF30>,18
34128,194.19,C10H10O4,194.19,COC(=O)c1cc(OC)ccc1C=O,Aldlab Chemicals,0,,"Benzoicacid,2-formyl-5-methoxy-,methylester",MFCD23098280,95736487,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23FC4F0>,12
34182,194.19,C9H10N2O3,194.19,CN(C)c1ccc(C=O)cc1[N+]([O-])=O,Alinda Chemical,0,,4-(dimethylamino)-3-nitrobenzaldehyde,MFCD00480831,551462,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23FF2B0>,12
34202,194.19,C9H10N2O3,194.19,CN(C)c1ccc(c(C=O)c1)[N+]([O-])=O,Advamacs,0,,5-(dimethylamino)-2-nitrobenzaldehyde 95%,MFCD05148755,4345921,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23FF7B0>,11
34307,194.23,C11H14O3,194.23,CCc1cc(OC)c(C=O)cc1OC,Key Organics/BIONET,0,,"4-ethyl-2,5-dimethoxybenzaldehyde",MFCD09743613,30721,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2403270>,11
34319,194.23,C11H14O3,194.23,CCOc1ccc(C=O)c(OCC)c1,Alinda Chemical,0,,"2,4-diethoxybenzaldehyde",MFCD00995010,516377,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2403570>,23
34347,194.23,C11H14O3,194.23,CCOc1ccc(C=O)cc1OCC,Alinda Chemical,0,,"3,4-diethoxybenzaldehyde",MFCD00016607,522011,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2403C70>,22
34371,194.23,C11H14O3,194.23,CCCOc1ccc(C=O)cc1OC,Alinda Chemical,0,,3-methoxy-4-propoxybenzaldehyde,MFCD00189329,836748,<rdkit.Chem.rdchem.Mol object at 0x0000020EE24052B0>,16
34387,194.23,C11H14O3,194.23,COc1cc(C=O)ccc1OC(C)C,InterBioScreen,0,,4-isopropoxy-3-methoxybenzaldehyde,MFCD00837588,836758,<rdkit.Chem.rdchem.Mol object at 0x0000020EE24056B0>,26
34413,194.23,C11H14O3,194.23,CCOCc1cc(C=O)ccc1OC,Alinda Chemical,0,,3-(ethoxymethyl)-4-methoxybenzaldehyde,MFCD03419347,846627,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2405D30>,16
34429,194.23,C11H14O3,194.23,CCCOc1c(OC)cccc1C=O,Alinda Chemical,0,,3-methoxy-2-propoxybenzaldehyde,MFCD03422449,848530,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2408170>,13
34442,194.23,C11H14O3,194.23,CCCOc1cc(C=O)ccc1OC,Alinda Chemical,0,,4-methoxy-3-propoxybenzaldehyde,MFCD00831057,848594,<rdkit.Chem.rdchem.Mol object at 0x0000020EE24084B0>,17
34508,194.23,C11H14O3,194.23,COc1ccc(C=O)c(OC(C)C)c1,Bio-Farma,0,,4-methoxy-2-(propan-2-yloxy)benzaldehyde,MFCD14607625,36084893,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2409570>,15
34542,194.23,C11H14O3,194.23,Cc1cc(C=O)cc(C)c1OCCO,Accela ChemBio (ASD),0,,"4-(2-Hydroxyethoxy)-3,5-dimethylbenzaldehyde",MFCD11188381,37478013,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2409DF0>,26
34688,194.23,C14H10O,194.23,O=Cc1ccc-2c(Cc3ccccc-23)c1,Alfa Aesar (US),0,,"Fluorene-2-carboxaldehyde, 99%",MFCD00001123,482604,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2411330>,14
